title,estateType,expireAfter,project,province,district,ward,street,numberOfRoom,description,image,detail,price,area,contact,transaction,addressDetail,lat,lng
"
BQL CHUNG CƯ THE GOLDEN ARMOR - B6 GIẢNG VÕ CẦN BÁN NHIỀU DT TỪ 2-3-4PN DT 76 - 138M2 GIÁ TỪ 3.6 TỶ
",2,365,,2,25,,,2,"
BQL cần bán nhiều diện tích trống có thể vào ở được ngay tại tòa chung cư cao cấp The Golden Armor - B6 Giảng Võ.* Căn 2 ngủ - Tái Định Cư.- Căn số 01 - Dt 76m2 căn góc ban công ĐN - ĐB giá 3.8 tỷ.- Căn số 06 - Dt 76m2 ban công ĐB - view trường học giá 4.1 tỷ.- Căn số 05 - Dt 82m2 ban công ĐB - view trường học giá 4.150 tỷ.- Căn số 07 - Dt 76m2 ban công TB - view trường học giá 3.6 tỷ. * Căn 2 ngủ Tầng Thương Mại.- Căn số 08 - Dt 83m2, ban công ĐN view trường giá 4.6 tỷ.- Căn số 11 - Dt 81m2, ban công TB view hồ tây giá 4.1 tỷ.- Căn số 12 - DT 82m2, ban công TB view hồ tây giá 4.2 tỷ.- Căn số 13 - Dt 77m2, ban công TB view hồ tây giá 4 tỷ.- Căn số 14 (05) - Dt 91m2, ban công TB giá 4.6 tỷ. * Căn 3 ngủ.- Căn 07 - dt 91m2, full đồ ban công ĐN giá 5.3 tỷ.- Căn 09 - dt 92m2, nội thất chủ đầu tư, căn góc ban công view trường Am, phòng ngủ view hồ tây, view Lăng Bác... Giá 5.3tỷ.- Căn 01 - dt 113m2, căn góc, nội thất chủ đầu tư ban công TB giá 6 tỷ.- Căn 02 - dt 104m2, căn góc, nội thất chủ đầu tư ban công ĐN giá 6.2 tỷ.- Căn 03 - dt 114m2, nội thất chủ đầu tư, ban công ĐN giá 6.1 tỷ.- Căn 04 - dt 125m2, nội thất chủ đầu tư, ban công ĐN giá 6.4 tỷ. * Căn 4 Ngủ.- Căn số 15(05) Dt 137m2 - nội thất có thêm tủ âm tường giá 6.7 tỷ.- Nội thất gói chủ đầu tư: Giá 6,5 tỷ.Tiện ích tòa nhà:+ Tiện ích nội khu: Có nhà hàng, siêu thị, ngân hàng ở tầng 1 và 2.+ Tiện ích ngoại khu: View đẹp xung quanh, tầm nhìn thoáng, gần hồ Giảng Võ, xung quanh là Trường tiểu học Kim Đồng, THCS Giảng Võ, THPT Nguyễn Trãi. Bên cạnh đó còn gần trường đại học Ngoại thương, Đại học Văn hóa Hà Nội,...+ Tầng hầm có hệ thống đỗ xe thông minh hiện đại nhất Hà Nội. Khách mua vui lòng liên hệ: Thảo 0981 497.266 (MTG, MG)
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110957-9703_wm.jpg,,3600,76,,6,,21.029693603515625,105.8215103149414
"
Không đủ tiền công chứng bán lại lô đất 100m2, thổ cư 100%, giá 1.270 tỷ, hỗ trợ vay 600 triệu
",5,365,,5,75,,,,"
Hàng ngộp cọc cần bán hòa vốn 1,270 tỷ, xã An Phước, huyện Long Thành.Chính chủ kẹt tiền nên cần ra gấp lô đất thổ cư nằm rất gần đường Phùng Hưng.- DT: 5 * 20m= 100m2, đất thổ cư 100%; xây dựng tự do, có thể kiểm chứng vì xung quanh rất nhiều nhà lầu, biệt thự.- Hạ tầng đẹp, chuẩn đô thị: Đường nhựa 7m, vỉa hè, cây xanh, chiếu sáng, công viên.- Ra đường Phùng Hưng chỉ 200m, tiện ích đầy đủ, sầm uất như ở Sài Gòn.- Thích hợp cho ai mua để định cư lâu dài, hoặc đầu tư chờ Sân bay Long Thành khởi công.- Nay kẹt tiền bán giá hòa vốn 1,270 tỷ. Thương lượng trực tiếp chủ. 0928.976.585.
",https://file4.batdongsan.com.vn/resize/745x510/2020/03/12/20200312095013-9ba5_wm.jpg,,1270,100,,6,,10.8593774,106.9531158
"
Bán biệt thự Pháp cực đẹp đường Nguyễn Văn Mai, P8, Q3, DT 10x23m, 2 lầu, giá 34 tỷ
",4,365,,1,15,,,,"
Bán gấp biệt thự Pháp đường Nguyễn Văn Mai, Phường 8, Quận 3.DT: 10x23m, nở hậu. Nhà 1 trệt 2 lầu 1 sân thượng.Vị trí đắc địa trung tâm đường Nguyễn Văn Mai, Quận 3.Khu biệt thự cao cấp an ninh sang trọng. Phù hợp để ở hoặc làm văn phòng đại diện.Gia chủ cần bán gấp giá 34 tỷ.* Liên hệ xem nhà chính chủ: 0901198129 gặp Lê Quang (MTG, Zalo - Viber 24/7).Xin cám ơn!
",https://file4.batdongsan.com.vn/resize/745x510/2018/08/09/20180809193044-4861_wm.jpg,,34000,230,,6,,10.7900898,106.6878182
"
Gia đình cần bán gấp tại Vinhome Hàm Nghi S84m2x3T nở hậu lh: 0334025680
",1,365,,2,42,,,2,"
Do gia đình có việc gấp cần tiền nên cần bán gấp căn nhà tại Vinhome Hàm Nghi, oto thoải mái, kinh doanh.- Diện tích: 84m2.- Mặt tiền: 4.2m hậu 4,5 m.- Nhà 3 tầng mỗi tầng hai phòng ngủ.- Trước nhà có khoảng sân để được một ô tô có thể đi vào.- Nhà nằm sát ngay Vinhomes Hàm Nghi với những tiện ích shopping, xem phim giải trí không gian xanh thoáng mát, đường trước nhà rộng rãi oto đi lại dễ dàng thuận tiện di chuyển 50m là ra đường lớn Hàm Nghi, 100m là ra đường Nguyễn Văn Giáp chạy thẳng là ra đường lớn Lê Đức Thọ.- Nhà rộng rãi thoáng mát khu dân trí cao tiềm năng tăng giá lớn gần ngay trường học, siêu thị bệnh viện, tòa án, quận ủy Nam Từ Liêm.- Cách 1km là sân vận động Mỹ Đình, đi ra 500m là đường đua F1 đang xây dựng, đi 4 phút là ra đến bến xe Mỹ Đình, tòa Lanmark 72.- Nhà tiện làm văn phòng, kinh doanh, nhà nghỉ, xây chung cư mini, hay đơn giản mua đất để tích trữ.- Nhà cần bán gấp nên anh chị đọc được tin này liên ngay để xem nhà và tìm cho mình một căn nhà ưng ý. Lh: 0334025680
Thông tin pháp lý: sổ đỏ chính chủ
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509111012-328d_wm.jpg,,9700,84,,6,,21.03501,105.7644644
"
Bán lô góc C2 ô số 1 dự án New Times City sau chợ Hội Nghĩa, ngay sau cổng nhà máy gỗ
",5,365,,4,68,,,,"
Bán lô góc C2 ô số 1 dự án New Times City sau chợ Hội Nghĩa, ngay sau cổng nhà máy gỗ.Cần bán gấp lô đất đã có sổ đỏ dự án New Times City Kim Oanh.LH: 0946539479 - 03.32.62.92.94 Quốc.- Vị trí đắc địa:Nằm gần trục đường giao thông chính, tiếp giáp với khu công nghiệp Nam Tân Uyên và rất nhiều cụm công nghiệp khác.Cách trường học, chợ Hội Nghĩa và UBND xã Hội Nghĩa khoảng 1,5km nên rất thuận tiện giao thông đi lại và phục vụ nhu cầu sống cho cư dân tại đây.- Hạ tầng hoàn thiện: Đường 13 - 19m, cây xanh, vỉa hè, công viên, khu xử lý nước thải đã hoàn thiện.- Dân cư bắt đầu ở đông.- Pháp lý rõ ràng: Sổ đỏ riêng từng nền, đất thổ cư 100%, ký công chứng sang tên ngay.- Hỗ trợ giấy phép và bản vẽ xây dựng.
",https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309171211-0bba_wm.jpg,,1600,112,,6,,11.1005706787109,106.767066955566
"
Bán nhà 2 mặt tiền đường Đồng Nai - Cư Xá Bắc Hải, Quận 10. DT: 7.3x22m, NH 10m, Gía chỉ 31 tỷ TL
",4,365,,1,11,,,,"
Bán nhà 2 mặt tiền đường Đồng Nai - Cư Xá Bắc Hải, Quận 10. DT: 7.3x22m, NH 10m, Gía chỉ 31 tỷ TL- Diện tích: 7.3x 22M, nở hậu 10M.- Hiện trạng: Trệt lầu, GPXD hầm 6 lầu sân thượng.- Nhà mặt tiền đường, vị trí sầm uất gần trung tâm thương mại, trường học, siêu thị, công viên cây xanh, vải hè rộng rãi, thích hợp sử dụng kinh doanh nhiều ngành nghề.- Sản phẩm: Thích hợp mua giữ tiền, làm văn phòng...- Giá: 31 tỷ thương lượng.- Qúy khách có nhu cầu mua và xem nhà liên hệ: 0915998499 gặp Hùng.Thông tin chính xác 100%, xin cảm ơn.
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509111015-f28c_wm.jpg,,31000,0,,6,,10.7794512,106.6623451
"
Vũng Tàu Pearl , duy nhất căn 1 phòng ngủ  view biển tầng cao, tt 95% chỉ 1.720 tỷ, lh 0792366350
",2,365,,10,145,,,1,"
Căn hộ cao cấp Vũng Tàu PearlDuy nhất chỉ còn 1 căn 1 phòng ngủView biển trực diện, tầng caoDiện tích 53.43 m2Anh chị cần mua vui lòng lh 0792366350 để biết mọi chi tiếtXin cám ơn
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110916-191a_wm.jpg,,1836,53.43,,6,,10.350399017334,107.09659576416
"
Cần bán nhà mặt tiền kinh doanh gần chợ Hoàng Hoa Thám, Q.Tân Bình. DT: 4x24m, giá bán 22 tỷ TL
",4,365,,1,22,,,,"
- Cần bán nhà mặt tiền kinh doanh gần chợ Hoàng Hoa Thám, thuộc khu K300 sầm uất bậc nhất trục đường Hoàng Hoa Thám- Diện tích: 4 x 24 m,- Kết cấu: 1 trệt, 3 lầu, sân thượng, xây dựng kiên cố.- Khu sang, tập trung hàng trăm công ty lớn, gần Vietcombank Cộng Hòa, Lotte Cộng Hòa.- Lưu thông thuận tiện chỉ 10p để di chuyển về các quận 1,3 hay Phú Nhuận.- Tiện ích xung quanh bán kính 500m không thiếu thứ gì: Trường học mầm non, cấp 1,2,3. Cơ quan, ngân hàng, chợ, siêu thị, TT mua sắm, nhà thờ lớn, bệnh viện.-Gía bán : 22 tỷ thương lượng(*) Liên hệ xem nhà: Phúc 0911390101 (Call, SMS, imessage, Zalo, Viber, 24/24).
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110951-97b4_wm.jpg,,22000,0,,6,,10.8081641,106.6883684
"
Bán biệt thự nghỉ dưỡng DT 1700m2 tại trung tâm thị trấn Đại Từ, Thái Nguyên. LH 0903483435
",1,365,,33,417,,,6,"
Bán biệt thự nghỉ dưỡng tại thị trấn Đại Từ, Thái Nguyên. DT sổ 1700m2, DT thực tế 2000m2 trong đó đất ở lâu dài 1000m2, đất trồng cây lâu năm 700m2. MT 40m, đường vào rộng 7m. Trên đất có biệt thự 3 tầng dt 400m2/sàn, để lại toàn bộ nội thất bàn ghế, điều hòa... Có thể kinh doanh homestay, nhà hàng...Vị trí:- Trung tâm thị trấn Đại Từ, Thái Nguyên.- Cách Quốc Lộ 37 chỉ 15m.- Toàn bộ biệt thự view thẳng ra sông, thoáng mát, yên tĩnh.SĐCC. LH 0903483435.
Thông tin pháp lý: SĐCC.
",https://file4.batdongsan.com.vn/resize/745x510/2020/04/30/20200430195756-667b_wm.jpg,,0,1700,,6,,21.6339025,105.6475341
"
Đất thổ cư 15m x 19m ngay ngã 3 Cây Dương, giá 1,9 tỷ, LH: 0962019679
",5,365,,5,80,,,,"
Cần bán đất thổ cư 15m x 19m ngay ngã 3 Cây Dương, cách đường 768 khoảng 120m thuộc xã Bình Hòa, huyện Vĩnh Cửu, tỉnh Đồng Nai.Giá bán: 1,9 tỷ, sổ hồng chính chủ.Liên hệ: 0962019679.
",https://file4.batdongsan.com.vn/resize/745x510/2019/09/04/WU2jA6T3/20190904140016-4bda.jpg,,1900,285,,6,,10.9882648,106.7999567
"
Chính chủ cần tiền bán gấp MT Phan Văn Trị, P5, đối diện E Mart, DT 7.5x25m HĐT 150tr giá 33 tỷ
",4,365,,1,6,,,,"
Bán MT Phan Văn Trị, P5, Gò Vấp, đối diện Emart.Diện tích: 7.5x25m.Vị trí: Nằm tại khu vực sầm uất bậc nhất Gò Vấp hiện nay, tiện kinh doanh đủ loại ngành nghề, hoặc xây dựng tòa nhà văn phòng cho thuê,... Giao thông thuận lợi, cách Bình Thạnh 300m, cách sân bay 2.5km, cách Phú Nhuận 2km. Giá 200tr/m2, cần bán mềm hơn so với khu vực là 300tr/m2...Giá bán: 33 tỷ TL.Liên hệ: 0937405789 A Quang.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/17/20200217092856-2af1_wm.jpg,,33000,187.5,,6,,10.8256196,106.6899577
"
Bán đất mặt tiền đường 5A, phường Bình Hưng Hòa B, Bình Tân, DT: 6x19m, giá 5.8 tỷ
",5,365,,1,2,,,,"
Bán đất mặt tiền đường 5A, KDC Vĩnh Lộc, phường Bình Hưng Hòa B, Bình Tân.Diện tích: 6m x 19m, hướng tây, sổ hồng 2018.Vị trí cực đẹp, đường nhựa 12m thông, khu dân cư sầm uất, khu dân trí cao, gần chợ, gần trường học, thuận tiện đi lại.Giá bán: 5.8 tỷ. Bớt lộc cho khách thiện chí.Liên hệ: 0908060303 gặp A. Lộc.
",https://file4.batdongsan.com.vn/resize/745x510/2019/08/06/20190806164423-a246_wm.jpg,,5800,114,,6,,10.8021622,106.5905844
"
Chính chủ bán căn hộ 2010 DT 107m2, 3PN, view công viên CC C22 Bộ Công An, giá 38tr/m2. 0961436488
",2,365,,2,28,,,3,"
Tôi chính chủ muốn nhượng lại căn hộ chung cư tại dự án C22 Bộ Công An. Tầng 2010 DT 107m2 thiết kế 3 ngủ chính, 1 phòng giúp việc, 2 vệ sinh, 2 lôgia rộng, view công viên Cầu Giấy.Căn hộ là suất mua ưu đãi của tôi nhưng do không có nhu cầu ở nên tôi muốn chuyển nhượng lại với giá 38 triệu/m².Hiện tại vẫn có thể đổi tên hợp đồng mua bán trên chủ đầu tư.Khách hàng thiện chí liên hệ trực tiếp chính chủ sđt Hoàng Thanh Hưng: 0961436488/0904673568.
",https://file4.batdongsan.com.vn/resize/745x510/2019/12/10/20191210101521-ea70_wm.jpg,,4066,107,,6,,21.0295677185059,105.791877746582
"
Cần tiền xây nhà bán nhanh đất shr,thổ cư ngay MT đường Nguyễn Thị Tấm-Củ Chi/ 250m2/Lh:0917903565
",5,365,,1,5,,,,"
Cần tiền xây nhà bán nhanh đất shr,thổ cư ngay MT đường Nguyễn Thị Tấm-Củ Chi/ 250m2/Lh:0917903565 C. Ánh- Đất nằm ngay mặt tiền đường tỉnh lộ 7 giao Nguyễn Thị Tấm- xã Phước Thạnh- Củ Chi- cách kenhe Đông 200m, khu vực đông dân, tiện ở xây biệt thự vườn,  Giá 1ty2 bớt chút lộc cho khách thiện chíGọi C. Ánh để xem sổ
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110944-619b_wm.jpg,,1200,250,,6,,11.0560517,106.4617088
"
Nhận ngay căn 2PN full nội thất liền tường tại Hateco Xuân Phương chỉ từ 1,5 tỷ. Lh: 0973599187
",2,365,,2,42,,,2,"
Chính chủ cần tiền bán gấp căn hộ 2PN full đồ liền tường tại chung cư Hateco Xuân Phương, chìa khóa trao tay giá chỉ 1,5 tỷ đã bao gồm VAT + 2% phí bảo trì.Căn hộ thiết kế thông thoáng, vuông vắn với 2pn, 1VS, 2 ban công thoáng mát.Liên hệ trực tiếp để xem nhà: 0973.599.187
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110932-ca36_wm.jpg,,0,61,,6,,21.035062789917,105.749664306641
"
Đầu tư bỏ vốn ít có sinh lời nhanh, dân cư đang tập trung dồn về
",5,365,,23,320,,,,"
- Kính gửi đến anh chị tham khảo đầu tư bất động sản.- Em muốn gửi đến anh chị hiểu rõ hơn đất nền KDC Becamex.- Giai đoạn 1 và 2 đang vào tiến độ hình thành rõ ràng.- Cơ sở hạ tầng, pháp lý đầy đủ, đường nhựa rộng 12m trở lên.- Với DT: 5*30m = 150m2 thổ cư sổ hồng riêng, các hướng phong thủy.- Giá bán từ 560tr đến 760 triệu tùy vị trí đẹp bao công chứng.- Đất nằm giáp trục đường chính N2B, N3B, D1B ra Quốc lộ 14.- Gần chợ, trường học cấp 1, 2, siêu thị Vincom, KDL Đại Nam.- Bên cạnh là khu công nghiệp Minh Hưng Hàn Quốc.- Tuyến đường Quốc Lộ 13 đi lên cửa khẩu quốc tế Campuchia.- Thuận tiện đi lại giao thương các tỉnh thành.- Vị trí vàng được các nhà đầu tư quan tâm mua bán.- Dân số tập trung về sinh sống xây dựng phát triển từng ngày...- Hệ thống điện nước sạch, công viên cây xanh đầy đủ.- Tiện ích mua xây nhà ở kinh doanh, đầu tư lướt sóng có sinh lời.- Liên hệ Tú mua đất đẹp: 0388 923 783, zalo: 0961 041 558.- Nơi gửi gắm trọn niềm tin, uy tín, trung thực.
",https://file4.batdongsan.com.vn/resize/745x510/2019/09/03/20190903163627-ca7f_wm.jpg,,560,150,,6,,11.4829371,106.61406
"
Bán trực tiếp căn hộ mini 35m2 tại Mễ Trì cạnh Kangnam ở ngay, ô tô đỗ 20m
",2,365,,2,42,,,1,"
Bán trực tiếp căn hộ mini 35m2 tại Mễ Trì cạnh Kangnam ở ngay, ô tô đỗ 50m Nội thất đi kèm căn hộ đẹp và hiện đại như sau: Sàn lát bằng gỗ tự nhiên, trần thạch cao, tủ bếp bằng gỗ trên và dưới, bếp gas hồng ngoại, hút mùi, thiết bị vệ sinh, bình nóng lạnh và thiết bị điện nước Vị trí: Chung cư mini Mễ Trì Hạ Từ Liêm nằm ngay đối diện KeangNam, The Garden, chợ Mễ Trì, các tiện ích xã hội đầy đủ: Trường mầm non, các trung tâm mua sắm giải trí, đi lại thuận tiện Chắc chắn sẽ là lựa chọn số 1 cho gia đình bạn.  Đặc biệt đường vào rất thoáng, sáng, nhiều cây xanh rất thuận tiện với những gia đình có con nhỏCó tầng hầm gửi xe rộng rãi, thang máy, thang bộ hiện đại, PCCC, chiếu sáng, hệ thống an ninh bảo vệ 24/24. Đảm bảo cuộc sống tốt nhất cho cư dân. Hiện tại em còn 2 căn chuyển nhượng lại với diện tích và giá bán sau Căn 35m2  Thiết kế 1 ngủ, 1 wc. Giá 660trCăn 49m2  Thiết kế 2 ngủ, 1 wc. Giá 950tr Liên hệ trực tiếp: 0983 169 020( không qua trung gian 
Thông tin pháp lý: sổ đỏ
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110955-0452_wm.jpg,,660,35,,6,,21.0168495178223,105.783973693848
"
Bán gấp lô đất đã có sổ đỏ dự án New Times City Kim Oanh, ngay chợ Hội Nghĩa, Nam Tân Uyên
",5,365,,4,68,,,,"
Cần bán gấp lô đất đã có sổ đỏ dự án New Times City Kim Oanh.LH: 0946539479 - 03.32.62.92.94 Quốc.- Vị trí đắc địa:Nằm gần trục đường giao thông chính, tiếp giáp với khu công nghiệp Nam Tân Uyên và rất nhiều cụm công nghiệp khác.Cách trường học, chợ Hội Nghĩa và UBND xã Hội Nghĩa khoảng 1,5km nên rất thuận tiện giao thông đi lại và phục vụ nhu cầu sống cho cư dân tại đây.- Hạ tầng hoàn thiện: Đường 13 - 19m, cây xanh, vỉa hè, công viên, khu xử lý nước thải đã hoàn thiện.- Dân cư bắt đầu ở đông.- Pháp lý rõ ràng: Sổ đỏ riêng từng nền, đất thổ cư 100%, ký công chứng sang tên ngay.- Hỗ trợ giấy phép và bản vẽ xây dựng.
",https://file4.batdongsan.com.vn/resize/745x510/2019/04/10/20190410163439-cf16_wm.jpg,,980,100,,6,,11.1005706787109,106.767066955566
"
Bán biệt thự mini Tỉnh Lộ 10, phường Tân Tạo, Bình Tân, DT: 7x12m, 4.7 tỷ, LH: 0908060303
",1,365,,1,2,,,,"
Đại hạ giá thời Covid 19, Bán nhà 1074/7 đường Tỉnh Lộ 10, phường Tân Tạo, Bình Tân.Diện tích: 7m x 12m, TDT: 81m2. Nhà xây kiểu biệt thự, hướng đông, hồng 2017.Vị trí cực đẹp, gần ngã ba Mã Lò và Tỉnh Lộ 10, đường nhựa 7m thông ra Lê Đình Cẩn, khu dân cư sầm uất, khu dân trí cao, gần chợ, gần trường học, tiện kinh doanh buôn bán, mở quán cafe, nhà thuốc tây...Giá chốt 4.7 tỷ.Liên hệ: 0908060303 gặp A. Lộc.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/03/20200203114629-e290_wm.jpg,,4700,81,,6,,10.7569599,106.5859814
"
Cần bán rất gấp căn hộ D'. Le Pont D'or Tân Hoàng Minh 36 hoàng cầu. 134m2, 3PN, căn góc, 6.4 tỷ
",2,365,,2,32,,,,"
LH: A. Nam: 0987 396 990. Cần bán rất gấp căn hộ Chung cư D'. Le Pont D'or Tân Hoàng Minh ở 36 hoàng cầu, quận đống đa, Hà Nội. là căn góc đẹp thoáng, có diện tích 134m2, gồm có 03 phòng ngủ, phòng khách, bếp, 2WC, nội thất nguyên bản như chủ đầu tư: thiết bị vệ sinh, thiết bị chiếu sáng, nóng lạnh....Giá bán 6.4 tỷ tương đương 48 triệu/m2. miễn TG.
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110944-3459_wm.jpg,,6432,134,,6,,21.0194931030273,105.822341918945
"
Cần bán rất gấp căn hộ D'. Le Pont D'or Tân Hoàng Minh 36 hoàng cầu. 134m2, 3PN, căn góc, 6.4 tỷ
",2,365,,2,32,,,,"
LH: A. Nam: 0987 396 990. Cần bán rất gấp căn hộ Chung cư D'. Le Pont D'or Tân Hoàng Minh ở 36 hoàng cầu, quận đống đa, Hà Nội. là căn góc đẹp thoáng, có diện tích 134m2, gồm có 03 phòng ngủ, phòng khách, bếp, 2WC, nội thất nguyên bản như chủ đầu tư: thiết bị vệ sinh, thiết bị chiếu sáng, nóng lạnh....Giá bán 6.4 tỷ tương đương 48 triệu/m2. miễn TG.
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110944-3459_wm.jpg,,6432,134,,6,,21.0194931030273,105.822341918945
"
Bán nhà cấp 4, đường Ngô Thì Nhậm. Sát bên trung tâm hành chính Dĩ An, Bình Dương
",1,365,,4,66,,,2,"
Bán nhà cấp 4 đường Ngô Thì Nhậm.Sát bên trung tâm hành chính Dĩ An, Bình Dương. Khu phố Nhị Đồng 2, phường Dĩ An.Nhà cấp 4, có 2 phòng ngủ, phòng bếp, phòng khách. Sân để xe. Đường bê tông 4m.DT 51.2m2. Giấy tờ pháp lý rõ ràng.Giá bán 2 tỷ 020 tr nhà chính chủ.LH 0365972976 gặp Tuấn. Để xem nhà.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/08/20200208201112-1fd6_wm.jpg,,2020,51.2,,6,,10.8970927,106.7645118
"
BÁN GẤP CĂN GÓC 2MT ĐƯỜNG 12M, NGUYỄN THIỆN THUẬT Q3
",1,365,,1,15,,,,"
BÁN GẤP NHÀ GÓC 2MT ĐƯỜNG 12M, NGUYỄN THIỆN THUẬT, Q3. - Ngang 14m, vuông vức, không lộ giới, 4 tầng, cho thuê 55tr. - DT: Tầng 2 trở lên 14x4.6m - Kết Cấu sẵn: Trệt, 3 Lầu. - Vị trí: Cách MT chỉ 20m, Khu đông dân cư, kinh doanh buôn bán sầm uất. - Ưu điểm: khó có thể tìm được căn thứ 2 hội tủ đủ các ưu điểm sau: Căn góc, Hẻm hông 4m; đường trước nhà 12m; Cách MT chỉ 20m. Giá trị kinh doanh cao; Sầm uất hơn MT Bàn Cờ. Thuận tiện kinh doanh café, Spa, hoặc kinh doanh Vàng bạc đá quý và các ngành nghề khác. Giá bán 15.9 tỷ thương lượng. CẢM ƠN CÁC ANH CHỊ ĐÃ XEM TINLiên hệ: Việt Kiều 0909.777.289
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509110626-e0d7_wm.jpg,,15900,0,,6,, 10.7833354099121230,106.6773228925086700
